PING MIDDLEWARE 1
mw1 > client1
PING 10.0.0.9 (10.0.0.9) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=0.766 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=1.01 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=1.06 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=0.844 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=0.814 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=0.784 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=0.779 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=0.767 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=0.734 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=1.01 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=0.727 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=0.761 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=0.873 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=0.685 ms
mw1 > client3
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=1.12 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=1.11 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=0.953 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=1.37 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=0.958 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=1.32 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=1.00 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=0.903 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=1.29 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=0.954 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=0.828 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=1.13 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=0.895 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=0.955 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=0.951 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=0.886 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=0.978 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=1.22 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=0.877 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=0.940 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=1.07 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=0.990 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=1.08 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=0.986 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=0.999 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=9.93 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=0.931 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=0.838 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=0.929 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=0.993 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=0.928 ms
mw1 > server1
PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=0.738 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=0.652 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=0.716 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=2.52 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=0.605 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=0.757 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=0.721 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=0.744 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=0.691 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=0.595 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=0.629 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.602 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.585 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=0.654 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=0.671 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=0.760 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=0.654 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=0.706 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=0.653 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=0.615 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.631 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=0.790 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.640 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=0.695 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=0.743 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=0.611 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=0.657 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.663 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=0.625 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.715 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=0.567 ms
mw1 > server2
PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=2.77 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=3.84 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=2.39 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=2.26 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=2.47 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=3.87 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=2.39 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=2.17 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=2.23 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=2.05 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=3.12 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=3.40 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=2.06 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=2.22 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=2.10 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=2.39 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=2.30 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=2.37 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=2.39 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=2.40 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=3.24 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=2.65 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=2.28 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=2.74 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=2.49 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=2.53 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=2.14 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=2.71 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=5.36 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=3.28 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=2.45 ms
mw1 > server3
PING 10.0.0.11 (10.0.0.11) 56(84) bytes of data.
64 bytes from 10.0.0.11: icmp_seq=1 ttl=64 time=2.35 ms
64 bytes from 10.0.0.11: icmp_seq=2 ttl=64 time=2.55 ms
64 bytes from 10.0.0.11: icmp_seq=3 ttl=64 time=3.31 ms
64 bytes from 10.0.0.11: icmp_seq=4 ttl=64 time=2.72 ms
64 bytes from 10.0.0.11: icmp_seq=5 ttl=64 time=3.29 ms
64 bytes from 10.0.0.11: icmp_seq=6 ttl=64 time=3.29 ms
64 bytes from 10.0.0.11: icmp_seq=7 ttl=64 time=2.28 ms
64 bytes from 10.0.0.11: icmp_seq=8 ttl=64 time=2.31 ms
64 bytes from 10.0.0.11: icmp_seq=9 ttl=64 time=3.41 ms
64 bytes from 10.0.0.11: icmp_seq=10 ttl=64 time=2.36 ms
64 bytes from 10.0.0.11: icmp_seq=11 ttl=64 time=2.21 ms
64 bytes from 10.0.0.11: icmp_seq=12 ttl=64 time=2.34 ms
64 bytes from 10.0.0.11: icmp_seq=13 ttl=64 time=2.24 ms
64 bytes from 10.0.0.11: icmp_seq=14 ttl=64 time=2.47 ms
64 bytes from 10.0.0.11: icmp_seq=15 ttl=64 time=2.29 ms
64 bytes from 10.0.0.11: icmp_seq=16 ttl=64 time=2.36 ms
64 bytes from 10.0.0.11: icmp_seq=17 ttl=64 time=2.35 ms
64 bytes from 10.0.0.11: icmp_seq=18 ttl=64 time=2.61 ms
64 bytes from 10.0.0.11: icmp_seq=19 ttl=64 time=2.31 ms
64 bytes from 10.0.0.11: icmp_seq=20 ttl=64 time=2.35 ms
64 bytes from 10.0.0.11: icmp_seq=21 ttl=64 time=2.36 ms
64 bytes from 10.0.0.11: icmp_seq=22 ttl=64 time=2.31 ms
64 bytes from 10.0.0.11: icmp_seq=23 ttl=64 time=2.70 ms
64 bytes from 10.0.0.11: icmp_seq=24 ttl=64 time=2.29 ms
64 bytes from 10.0.0.11: icmp_seq=25 ttl=64 time=2.25 ms
64 bytes from 10.0.0.11: icmp_seq=26 ttl=64 time=2.41 ms
64 bytes from 10.0.0.11: icmp_seq=27 ttl=64 time=2.26 ms
64 bytes from 10.0.0.11: icmp_seq=28 ttl=64 time=2.29 ms
64 bytes from 10.0.0.11: icmp_seq=29 ttl=64 time=4.89 ms
64 bytes from 10.0.0.11: icmp_seq=30 ttl=64 time=2.20 ms
