PING MIDDLEWARE 2
mw2 > client1
PING 10.0.0.9 (10.0.0.9) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=2.13 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=2.12 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=2.37 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=2.36 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=2.16 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=2.45 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=2.41 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=2.47 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=2.22 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=2.54 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=2.48 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=2.43 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=2.57 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=2.37 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=2.04 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=2.34 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=2.15 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=2.93 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=2.23 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=2.20 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=2.42 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=2.33 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=2.29 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=2.06 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=2.22 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=2.21 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=2.26 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=2.26 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=2.35 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=2.31 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=2.28 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=2.38 ms
64 bytes from 10.0.0.8: icmp_seq=34 ttl=64 time=2.30 ms
64 bytes from 10.0.0.8: icmp_seq=35 ttl=64 time=2.12 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=2.16 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=2.25 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=2.05 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=2.46 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=2.08 ms
64 bytes from 10.0.0.8: icmp_seq=41 ttl=64 time=2.32 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=2.35 ms
mw2 > server1
PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=0.481 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=0.451 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=0.516 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=0.459 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=0.759 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=0.488 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=0.429 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=0.658 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=0.444 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=0.803 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=0.745 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.665 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.457 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=0.543 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=0.457 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=0.412 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=0.364 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=0.411 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=0.668 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=0.494 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.456 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=0.420 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.501 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=0.521 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=0.511 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=0.489 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=0.538 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.443 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=0.435 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.393 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=0.436 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=0.339 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=0.435 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=0.405 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=0.440 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=0.557 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=0.466 ms
mw2 > server2
PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=2.44 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=2.78 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=2.40 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=3.04 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=2.58 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=2.15 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=2.67 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=2.24 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=1.99 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=2.06 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=2.25 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=2.21 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=2.34 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=2.58 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=2.38 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=2.30 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=2.19 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=2.54 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=2.03 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=2.22 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=2.41 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=2.10 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=2.17 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=2.21 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=2.12 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=2.56 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=2.16 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=2.06 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=2.11 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=2.04 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=2.10 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=2.25 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=2.11 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=2.16 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=2.05 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=2.17 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=7.22 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=2.15 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=2.35 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=2.51 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=2.32 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=2.44 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=2.11 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=2.14 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=2.11 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=2.41 ms
mw2 > server3
PING 10.0.0.11 (10.0.0.11) 56(84) bytes of data.
64 bytes from 10.0.0.11: icmp_seq=1 ttl=64 time=0.492 ms
64 bytes from 10.0.0.11: icmp_seq=2 ttl=64 time=0.431 ms
64 bytes from 10.0.0.11: icmp_seq=3 ttl=64 time=0.466 ms
64 bytes from 10.0.0.11: icmp_seq=4 ttl=64 time=0.461 ms
64 bytes from 10.0.0.11: icmp_seq=5 ttl=64 time=0.456 ms
64 bytes from 10.0.0.11: icmp_seq=6 ttl=64 time=0.419 ms
64 bytes from 10.0.0.11: icmp_seq=7 ttl=64 time=0.431 ms
64 bytes from 10.0.0.11: icmp_seq=8 ttl=64 time=0.462 ms
64 bytes from 10.0.0.11: icmp_seq=9 ttl=64 time=0.369 ms
64 bytes from 10.0.0.11: icmp_seq=10 ttl=64 time=0.421 ms
64 bytes from 10.0.0.11: icmp_seq=11 ttl=64 time=0.466 ms
64 bytes from 10.0.0.11: icmp_seq=12 ttl=64 time=0.480 ms
64 bytes from 10.0.0.11: icmp_seq=13 ttl=64 time=0.696 ms
64 bytes from 10.0.0.11: icmp_seq=14 ttl=64 time=0.496 ms
64 bytes from 10.0.0.11: icmp_seq=15 ttl=64 time=0.446 ms
64 bytes from 10.0.0.11: icmp_seq=16 ttl=64 time=0.386 ms
64 bytes from 10.0.0.11: icmp_seq=17 ttl=64 time=0.451 ms
64 bytes from 10.0.0.11: icmp_seq=18 ttl=64 time=0.419 ms
64 bytes from 10.0.0.11: icmp_seq=19 ttl=64 time=0.344 ms
64 bytes from 10.0.0.11: icmp_seq=20 ttl=64 time=0.514 ms
64 bytes from 10.0.0.11: icmp_seq=21 ttl=64 time=0.425 ms
64 bytes from 10.0.0.11: icmp_seq=22 ttl=64 time=0.470 ms
64 bytes from 10.0.0.11: icmp_seq=23 ttl=64 time=0.447 ms
64 bytes from 10.0.0.11: icmp_seq=24 ttl=64 time=0.478 ms
64 bytes from 10.0.0.11: icmp_seq=25 ttl=64 time=0.397 ms
64 bytes from 10.0.0.11: icmp_seq=26 ttl=64 time=0.482 ms
64 bytes from 10.0.0.11: icmp_seq=27 ttl=64 time=0.465 ms
64 bytes from 10.0.0.11: icmp_seq=28 ttl=64 time=0.435 ms
64 bytes from 10.0.0.11: icmp_seq=29 ttl=64 time=0.444 ms
64 bytes from 10.0.0.11: icmp_seq=30 ttl=64 time=0.458 ms
64 bytes from 10.0.0.11: icmp_seq=31 ttl=64 time=0.391 ms
64 bytes from 10.0.0.11: icmp_seq=32 ttl=64 time=0.411 ms
64 bytes from 10.0.0.11: icmp_seq=33 ttl=64 time=0.416 ms
64 bytes from 10.0.0.11: icmp_seq=34 ttl=64 time=0.471 ms
64 bytes from 10.0.0.11: icmp_seq=35 ttl=64 time=0.452 ms
64 bytes from 10.0.0.11: icmp_seq=36 ttl=64 time=0.454 ms
64 bytes from 10.0.0.11: icmp_seq=37 ttl=64 time=0.397 ms
64 bytes from 10.0.0.11: icmp_seq=38 ttl=64 time=0.520 ms
64 bytes from 10.0.0.11: icmp_seq=39 ttl=64 time=0.484 ms
64 bytes from 10.0.0.11: icmp_seq=40 ttl=64 time=0.387 ms
64 bytes from 10.0.0.11: icmp_seq=41 ttl=64 time=0.403 ms
64 bytes from 10.0.0.11: icmp_seq=42 ttl=64 time=0.532 ms
64 bytes from 10.0.0.11: icmp_seq=43 ttl=64 time=0.435 ms
64 bytes from 10.0.0.11: icmp_seq=44 ttl=64 time=0.418 ms
64 bytes from 10.0.0.11: icmp_seq=45 ttl=64 time=0.490 ms
64 bytes from 10.0.0.11: icmp_seq=46 ttl=64 time=0.444 ms
64 bytes from 10.0.0.11: icmp_seq=47 ttl=64 time=0.475 ms
64 bytes from 10.0.0.11: icmp_seq=48 ttl=64 time=0.353 ms
